covariate,coef,se,rr,ci_lower,ci_upper,p_value
Intercept,-5.967103240170722,1.1519760830335994,0.0025616511698827735,0.00026787868096369406,0.024496375346312646,2.2202313733117524e-07
"C(position, Treatment(reference='bed'))[T.chair]",0.8547280989000683,0.5051710849083062,2.350735126205394,0.873360182960128,6.327235591215599,0.09065404218584926
C(daypart)[T.window_06_08],0.03212731529485696,0.7075719954037567,1.0326489689442397,0.25802113064318616,4.13285489604439,0.9637844857139823
C(daypart)[T.window_09_11],0.04826881095703389,0.7075355105822303,1.0494527218020016,0.26223852469500825,4.199806327382812,0.945609675578043
C(daypart)[T.window_12_14],0.7041090069495044,0.5779045102271374,2.0220442546864614,0.651430976789584,6.276433135035256,0.2230784779580932
C(daypart)[T.window_15_17],0.5250819358197643,0.6092910617250824,1.6905973631851956,0.5121547030633911,5.580578343444358,0.38880219293003226
C(daypart)[T.window_18_20],1.0187637139781882,0.5356826109868256,2.769768420448547,0.9693067016931756,7.914540454031045,0.05719668998324394
C(daypart)[T.window_21_23],0.9894882464212498,0.5430417245508348,2.689857575822694,0.927860822035465,7.797865376337859,0.0684364837773824
C(day_of_week)[T.Monday],0.24729712240888407,0.6435004982805972,1.2805595391938696,0.3627781261849119,4.5202084002842415,0.7007562451343263
C(day_of_week)[T.Saturday],0.5707368777721861,0.5713748338011573,1.7695705283118135,0.5774359242174181,5.422904470160248,0.31785114371437995
C(day_of_week)[T.Sunday],0.5046241449278448,0.6194685782825597,1.6563628510725519,0.4918732249761023,5.5777337637080935,0.415296650871428
C(day_of_week)[T.Thursday],0.0013822881473012083,0.6786797404364362,1.001383243947909,0.26478687996463757,3.7870773710297025,0.9983749248090455
C(day_of_week)[T.Tuesday],-0.2855385486038552,0.7392952933292509,0.7516093671281414,0.17647830579091253,3.201054306493998,0.6993258091241592
C(day_of_week)[T.Wednesday],0.8130502287804637,0.5731977774684485,2.2547750881042408,0.7331408683080374,6.9345618525789,0.15606052544899665
C(calendar_quarter)[T.2024Q4],0.3582372567087589,0.9062932217072556,1.4308050483091783,0.24217432574510803,8.453427422449979,0.6926381533149912
C(calendar_quarter)[T.2025Q1],0.05034176710081435,0.8391171652788584,1.0516304476545268,0.2030449538649324,5.4467081175025625,0.9521606299045074
C(calendar_quarter)[T.2025Q2],-0.33841469941684366,0.8681844713610003,0.7128995875459148,0.13002139524188783,3.9087860961470806,0.6966875166293357
C(calendar_quarter)[T.2025Q3],-0.39804826362669316,0.9264892985061126,0.6716296115989074,0.10926629654195895,4.1283208953941175,0.6674642874291008
C(calendar_quarter)[T.2025Q4],-0.366298930698282,0.9095773797579049,0.6932955229155957,0.11659246905410799,4.122553420425004,0.6871591303831008
C(division_id)[T.20],1.6181807995272233,1.34000038604618,5.04390608877968,0.3648678823377055,69.72657738310242,0.22720221226006154
C(division_id)[T.21],-0.42912445749089606,1.4415003860080438,0.6510788924929907,0.03860145866152513,10.981546784718079,0.7659375484455364
C(division_id)[T.23],-21.719712356445154,52149.36198057463,3.691890189940599e-10,0.0,inf,0.999667688692726
C(division_id)[T.37],1.7622003573308875,1.2027727420369747,5.8252409146277175,0.5514333956319001,61.53677303959377,0.1428895513583825
C(division_id)[T.38],-20.60871967962064,13791.796424091595,1.121364399051322e-09,0.0,inf,0.9988077424705687
C(division_id)[T.39],-0.029509195227136978,1.2873359373041253,0.9709219497522871,0.07787209294401097,12.10561315192291,0.9817119457256456
C(division_id)[T.41],1.122523209278945,1.3795089274188657,3.0725972363957945,0.20570456532790857,45.89520782904182,0.41580985796069947
C(division_id)[T.5],-0.04055265107940932,1.2965986890896906,0.9602586045283653,0.07563122275178301,12.19200951698252,0.9750492885078301
