scope,source_study_id,metric,metric_type,metric_unit,window_half_width_seconds,position,exposure_hours,source_value_in_scope,positioned_numerator_value,excluded_missing_posture_value,excluded_ambiguous_events,rate_per_100_exposure_hours,active_seconds_per_exposure_hour,notes
talk_confirmed_intervention_oneoff,operational_position_study_20260325_talkgate,talk_event,event_count,count,3,chair,348.788333,3637,257,21,53,73.683657,,Talk clicks with +/- 3 second state association.
talk_confirmed_intervention_oneoff,operational_position_study_20260325_talkgate,talk_event,event_count,count,3,bed,5351.695000,3637,2893,21,53,54.057640,,Talk clicks with +/- 3 second state association.
talk_confirmed_intervention_oneoff,operational_position_study_20260325_talkgate,talk_event,event_count,count,5,chair,348.788333,3637,248,18,53,71.103296,,Talk clicks with +/- 5 second state association.
talk_confirmed_intervention_oneoff,operational_position_study_20260325_talkgate,talk_event,event_count,count,5,bed,5351.695000,3637,2912,18,53,54.412667,,Talk clicks with +/- 5 second state association.
talk_confirmed_intervention_oneoff,operational_position_study_20260325_talkgate,alarm_trigger,event_count,count,3,chair,348.788333,644,68,1,3,19.496065,,Manual alarm triggers with +/- 3 second state association.
talk_confirmed_intervention_oneoff,operational_position_study_20260325_talkgate,alarm_trigger,event_count,count,3,bed,5351.695000,644,492,1,3,9.193349,,Manual alarm triggers with +/- 3 second state association.
talk_confirmed_intervention_oneoff,operational_position_study_20260325_talkgate,alarm_trigger,event_count,count,5,chair,348.788333,644,63,1,3,18.062531,,Manual alarm triggers with +/- 5 second state association.
talk_confirmed_intervention_oneoff,operational_position_study_20260325_talkgate,alarm_trigger,event_count,count,5,bed,5351.695000,644,497,1,3,9.286777,,Manual alarm triggers with +/- 5 second state association.
talk_confirmed_intervention_oneoff,operational_position_study_20260325_talkgate,nudge_active_seconds,duration,seconds,,chair,348.788333,1586458,97442,2599,0,,279.372877,Active nudge-state seconds per chair exposure-hour.
talk_confirmed_intervention_oneoff,operational_position_study_20260325_talkgate,nudge_active_seconds,duration,seconds,,bed,5351.695000,1586458,1324103,2599,0,,247.417500,Active nudge-state seconds per bed exposure-hour.
