metric,value
source_rows,37
source_unique_event_keys,37
source_unique_monitors,37
included_fall_rows,30
included_fall_unique_event_keys,30
included_fall_sequences,30
included_fall_unique_monitors,30
accepted_nonfall_rows,4
accepted_nonfall_unique_event_keys,4
excluded_offscreen_rows,1
excluded_offscreen_unique_event_keys,1
excluded_bad_or_no_video_rows,0
excluded_bad_or_no_video_unique_event_keys,0
excluded_no_signal_rows,2
excluded_no_signal_unique_event_keys,2
mechanism_eligible_event_keys,30
chair_origin_room_or_no_patient_event_keys,3
study_window_start_date,2024-08-01
study_window_end_date,2025-12-31
study_window_source_rows,34
study_window_source_unique_event_keys,34
study_window_source_unique_monitors,34
study_window_included_fall_rows,27
study_window_included_fall_unique_event_keys,27
study_window_included_fall_sequences,27
study_window_included_fall_unique_monitors,27
study_window_accepted_nonfall_rows,4
study_window_accepted_nonfall_unique_event_keys,4
study_window_excluded_offscreen_rows,1
study_window_excluded_offscreen_unique_event_keys,1
study_window_excluded_bad_or_no_video_rows,0
study_window_excluded_bad_or_no_video_unique_event_keys,0
study_window_excluded_no_signal_rows,2
study_window_excluded_no_signal_unique_event_keys,2
study_window_mechanism_eligible_event_keys,27
study_window_chair_origin_room_or_no_patient_event_keys,2
