grouping,group_value,prefall_location_label,falls_in_group,expected_falls,mean_probability,median_probability,pct_expected_in_group
daypart,window_00_05,bed,15,8.4244,0.5616,0.8,0.5616
daypart,window_00_05,no_patient,15,4.1842,0.2789,0.15,0.2789
daypart,window_00_05,room,15,2.1139,0.1409,0.0,0.1409
daypart,window_00_05,chair,15,0.2776,0.0185,0.0,0.0185
daypart,window_06_08,bed,11,4.1047,0.3732,0.4688,0.3732
daypart,window_06_08,no_patient,11,2.6604,0.2419,0.1104,0.2419
daypart,window_06_08,chair,11,2.3724,0.2157,0.0572,0.2157
daypart,window_06_08,room,11,1.8625,0.1693,0.0061,0.1693
daypart,window_09_11,no_patient,13,5.4083,0.416,0.2,0.416
daypart,window_09_11,bed,13,4.3518,0.3348,0.082,0.3348
daypart,window_09_11,chair,13,1.787,0.1375,0.0,0.1375
daypart,window_09_11,room,13,1.4529,0.1118,0.0,0.1118
daypart,window_12_14,bed,19,9.9717,0.5248,0.75,0.5248
daypart,window_12_14,no_patient,19,6.1017,0.3211,0.1317,0.3211
daypart,window_12_14,room,19,1.9905,0.1048,0.0,0.1048
daypart,window_12_14,chair,19,0.9362,0.0493,0.0,0.0493
daypart,window_15_17,bed,12,6.5067,0.5422,0.6653,0.5422
daypart,window_15_17,no_patient,12,4.1549,0.3462,0.1929,0.3462
daypart,window_15_17,room,12,0.815,0.0679,0.0,0.0679
daypart,window_15_17,chair,12,0.5234,0.0436,0.0,0.0436
daypart,window_18_20,bed,17,7.0968,0.4175,0.3224,0.4175
daypart,window_18_20,no_patient,17,6.8483,0.4028,0.1167,0.4028
daypart,window_18_20,chair,17,1.8528,0.109,0.0,0.109
daypart,window_18_20,room,17,1.202,0.0707,0.0,0.0707
daypart,window_21_23,bed,4,2.2395,0.5599,0.65,0.5599
daypart,window_21_23,no_patient,4,1.0,0.25,0.25,0.25
daypart,window_21_23,room,4,0.4799,0.12,0.0,0.12
daypart,window_21_23,chair,4,0.2805,0.0701,0.0593,0.0701
division_id,12,bed,3,1.8329,0.611,0.8967,0.611
division_id,12,no_patient,3,1.1533,0.3844,0.1033,0.3844
division_id,12,room,3,0.0137,0.0046,0.0,0.0046
division_id,12,chair,3,0.0,0.0,0.0,0.0
division_id,20,bed,18,10.5575,0.5865,0.75,0.5865
division_id,20,no_patient,18,4.3775,0.2432,0.1275,0.2432
division_id,20,chair,18,2.0225,0.1124,0.0,0.1124
division_id,20,room,18,1.0425,0.0579,0.0,0.0579
division_id,21,bed,5,2.955,0.591,0.8334,0.591
division_id,21,no_patient,5,1.3683,0.2737,0.1192,0.2737
division_id,21,room,5,0.56,0.112,0.0,0.112
division_id,21,chair,5,0.1166,0.0233,0.0,0.0233
division_id,36,bed,1,0.9071,0.9071,0.9071,0.9071
division_id,36,no_patient,1,0.05,0.05,0.05,0.05
division_id,36,chair,1,0.0417,0.0417,0.0417,0.0417
division_id,36,room,1,0.0013,0.0013,0.0013,0.0013
division_id,37,bed,10,7.1726,0.7173,0.804,0.7173
division_id,37,no_patient,10,1.5257,0.1526,0.172,0.1526
division_id,37,chair,10,0.7125,0.0712,0.0,0.0712
division_id,37,room,10,0.5892,0.0589,0.0014,0.0589
division_id,39,bed,8,3.368,0.421,0.3002,0.421
division_id,39,room,8,2.5407,0.3176,0.1341,0.3176
division_id,39,no_patient,8,1.87,0.2338,0.15,0.2338
division_id,39,chair,8,0.2213,0.0277,0.0,0.0277
division_id,40,no_patient,2,2.0,1.0,1.0,1.0
division_id,40,bed,2,0.0,0.0,0.0,0.0
division_id,40,chair,2,0.0,0.0,0.0,0.0
division_id,40,room,2,0.0,0.0,0.0,0.0
division_id,41,bed,10,5.6341,0.5634,0.881,0.5634
division_id,41,no_patient,10,4.1842,0.4184,0.0671,0.4184
division_id,41,chair,10,0.1398,0.014,0.0,0.014
division_id,41,room,10,0.0419,0.0042,0.0,0.0042
