scope,model,metric,value,denominator
full_success_set,gemini-2.5-flash,rows_total,70.0,
full_success_set,gemini-2.5-flash,visible_primary_rows,52.0,
full_success_set,gemini-2.5-flash,visible_fall_rows,47.0,
full_success_set,gemini-2.5-flash,visible_nonfall_rows,5.0,
full_success_set,gemini-2.5-flash,tp,38.0,47.0
full_success_set,gemini-2.5-flash,fn,9.0,47.0
full_success_set,gemini-2.5-flash,fp,1.0,5.0
full_success_set,gemini-2.5-flash,tn,4.0,5.0
full_success_set,gemini-2.5-flash,visible_fall_sensitivity,0.8085106382978723,47.0
full_success_set,gemini-2.5-flash,visible_nonfall_specificity,0.8,5.0
full_success_set,gemini-2.5-flash,location_accuracy_all_visible_falls,0.48936170212765956,47.0
full_success_set,gemini-2.5-flash,location_accuracy_detected_visible_falls,0.6052631578947368,38.0
full_success_set,gemini-2.5-flash,last_furniture_accuracy_all_visible_falls,0.7368421052631579,19.0
full_success_set,gemini-2.5-flash,last_furniture_accuracy_detected_visible_falls,0.9333333333333333,15.0
full_success_set,gemini-2.5-flash,fall_tag_exact_match_rate_detected_visible_falls,0.05263157894736842,38.0
full_success_set,gemini-2.5-flash,fall_tag_jaccard_mean_detected_visible_falls,0.14912280701754385,38.0
full_success_set,gemini-2.5-flash,fall_time_mae_seconds_detected_visible_falls,1134.5135135135135,37.0
full_success_set,gemini-2.5-flash,response_time_mae_seconds_detected_visible_falls,1204.0588235294117,34.0
three_way_overlap,gemini-2.5-flash,rows_total,59.0,
three_way_overlap,gemini-2.5-flash,visible_primary_rows,42.0,
three_way_overlap,gemini-2.5-flash,visible_fall_rows,38.0,
three_way_overlap,gemini-2.5-flash,visible_nonfall_rows,4.0,
three_way_overlap,gemini-2.5-flash,tp,32.0,38.0
three_way_overlap,gemini-2.5-flash,fn,6.0,38.0
three_way_overlap,gemini-2.5-flash,fp,1.0,4.0
three_way_overlap,gemini-2.5-flash,tn,3.0,4.0
three_way_overlap,gemini-2.5-flash,visible_fall_sensitivity,0.8421052631578947,38.0
three_way_overlap,gemini-2.5-flash,visible_nonfall_specificity,0.75,4.0
